Name,Type,MainMuscle,SecondaryMuscles,Equipment,MechanicsType,Level,Sport,Force
Ab Crunch Machine,Strength,Abdominals,0,Machine,Isolation,Intermediate,No,Pull
Adductor,Stretching,Adductors,0,FoamRoll,Isolation,Intermediate,No,Static
Advanced Kettlebell Windmill,Strength,Abdominals, Glutes Hamstrings Shoulders,Kettlebells,Isolation,Intermediate,No,Push
All Fours Quad Stretch,Stretching,Quadriceps, Quadriceps,BodyOnly,N/A,Intermediate,No,Static
Alternate Heel Touchers,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Alternate Leg Diagonal Bound,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,None,Compound,Beginner,No,Push
Alternating Deltoid Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Alternating Hang Clean,Strength,Hamstrings, Biceps Calves Forearms Glutes LowerBack Traps,Kettlebells,Compound,Intermediate,No,Pull
Alternating Kettlebell Row,Strength,MiddleBack, Biceps Lats,Kettlebells,Isolation,Intermediate,No,Pull
Ankle Circles,Stretching,Calves,0,None,Isolation,Beginner,No,Pull
Anterior Tibialis-SMR,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
Arm Circles,Stretching,Shoulders, Traps,None,Isolation,Beginner,No,Push
Around The Worlds,Strength,Chest, Shoulders,Dumbbell,Compound,Intermediate,No,Push
Atlas Stones,Strongman,LowerBack, Abdominals Adductors Biceps Calves Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Other,Compound,Expert,Yes,Pull
Ab Roller,Strength,Abdominals, Shoulders,Other,Compound,Intermediate,No,Pull
Adductor/Groin,Stretching,Adductors,0,None,N/A,Intermediate,No,Static
Air Bike,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Alternate Hammer Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Alternate Incline Dumbbell Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Alternating Cable Shoulder Press,Strength,Shoulders, Triceps,Cable,Compound,Beginner,No,Push
Alternating Floor Press,Strength,Chest, Abdominals Shoulders Triceps,Kettlebells,Compound,Beginner,No,Push
Alternating Kettlebell Press,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
Alternating Renegade Row,Strength,MiddleBack, Abdominals Biceps Chest Lats Triceps,Kettlebells,Compound,Expert,No,Pull
Ankle On The Knee,Stretching,Glutes,0,None,N/A,Beginner,No,Static
Anti-Gravity Press,Strength,Shoulders, MiddleBack Traps Triceps,Barbell,Compound,Beginner,No,Push
Arnold Dumbbell Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
Atlas Stone Trainer,Strongman,LowerBack, Biceps Forearms Glutes Hamstrings Quadriceps,Other,Compound,Intermediate,No,Pull
Axle Deadlift,Strongman,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Other,Compound,Intermediate,Yes,Pull
Back Flyes - With Bands,Strength,Shoulders, MiddleBack Triceps,Bands,Compound,Beginner,No,Pull
Backward Medicine Ball Throw,Plyometrics,Shoulders,0,MedicineBall,Compound,Beginner,No,Push
Ball Leg Curl,Strength,Hamstrings, Calves Glutes,ExerciseBall,Isolation,Beginner,No,Pull
Band Good Morning,Powerlifting,Hamstrings, Glutes LowerBack,Bands,Compound,Beginner,No,Pull
Band Hip Adductions,Strength,Adductors,0,Bands,Isolation,Beginner,No,Pull
Band Skull Crusher,Strength,Triceps,0,Bands,Isolation,Beginner,No,Push
Barbell Ab Rollout - On Knees,Strength,Abdominals, LowerBack Shoulders,Barbell,Compound,Expert,No,Pull
Barbell Curl,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
Barbell Deadlift,Strength,LowerBack, Calves Forearms Glutes Hamstrings Lats MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,Yes,Pull
Barbell Glute Bridge,Powerlifting,Glutes, Calves Hamstrings,Barbell,Compound,Intermediate,No,Push
Barbell Hack Squat,Strength,Quadriceps, Calves Forearms Hamstrings,Barbell,Compound,Intermediate,No,Push
Barbell Incline Bench Press - Medium Grip,Strength,Chest, Shoulders Triceps,Barbell,Compound,Beginner,No,Push
Barbell Lunge,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Barbell Rollout from Bench,Strength,Abdominals, Glutes Hamstrings Lats Shoulders,Barbell,Compound,Intermediate,No,Pull
Barbell Shoulder Press,Strength,Shoulders, Chest Triceps,Barbell,Compound,Intermediate,No,Push
Barbell Shrug Behind The Back,Strength,Traps, Forearms MiddleBack,Barbell,Isolation,Beginner,No,Pull
Barbell Side Split Squat,Strength,Quadriceps, Calves Hamstrings LowerBack,Barbell,Compound,Beginner,No,Push
Barbell Squat To A Bench,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
Barbell Walking Lunge,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Beginner,No,Push
Bear Crawl Sled Drags,Strongman,Quadriceps, Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
Bench Dips,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Beginner,No,Push
Bench Press - Powerlifting,Powerlifting,Triceps, Chest Forearms Lats Shoulders,Barbell,Compound,Intermediate,Yes,Push
Bench Press with Chains,Powerlifting,Triceps, Chest Lats Shoulders,Barbell,Compound,Expert,No,Push
Bent Over Barbell Row,Strength,MiddleBack, Biceps Lats Shoulders,Barbell,Compound,Beginner,No,Pull
Bent Over Low-Pulley Side Lateral,Strength,Shoulders, LowerBack MiddleBack Traps,Cable,Isolation,Beginner,No,Pull
Bent Over Two-Arm Long Bar Row,Strength,MiddleBack, Biceps Lats,Barbell,Compound,Intermediate,No,Pull
Bent Over Two-Dumbbell Row With Palms In,Strength,MiddleBack, Biceps Lats,Dumbbell,Compound,Beginner,No,Pull
Bent-Arm Barbell Pullover,Strength,Lats, Chest Lats Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
Bent-Knee Hip Raise,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
'Bicycling, Stationary',Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
Body Tricep Press,Strength,Triceps,0,BodyOnly,Isolation,Beginner,No,Push
Bodyweight Flyes,Strength,Chest, Abdominals Shoulders Triceps,E-ZCurlBar,Isolation,Intermediate,No,Push
Bodyweight Squat,Strength,Quadriceps, Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Bosu Ball Cable Crunch With Side Bends,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Bottoms-Up Clean From The Hang Position,Strength,Forearms, Biceps Shoulders,Kettlebells,Compound,Intermediate,No,Pull
Box Skip,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,Other,Compound,Beginner,No,Push
Box Squat with Bands,Powerlifting,Quadriceps, Abductors Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
Brachialis-SMR,Stretching,Biceps,0,FoamRoll,N/A,Intermediate,No,Static
Butt Lift (Bridge),Strength,Glutes, Hamstrings,BodyOnly,Isolation,Beginner,No,Push
Butterfly,Strength,Chest,0,Machine,Isolation,Beginner,No,Pull
Backward Drag,Strongman,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack,Other,Compound,Beginner,No,Pull
Balance Board,Strength,Calves, Hamstrings Quadriceps,Other,Compound,Beginner,No,N/A
Band Assisted Pull-Up,Strength,Lats, Abdominals Forearms MiddleBack,Other,Compound,Beginner,No,N/A
Band Good Morning (Pull Through),Powerlifting,Hamstrings, Glutes LowerBack,Bands,Compound,Beginner,No,Pull
Band Pull Apart,Strength,Shoulders, MiddleBack Traps,Bands,Isolation,Beginner,No,Pull
Barbell Ab Rollout,Strength,Abdominals, LowerBack Shoulders,Barbell,Compound,Intermediate,No,Pull
Barbell Bench Press - Medium Grip,Strength,Chest, Shoulders Triceps,Barbell,Compound,Beginner,No,Push
Barbell Curls Lying Against An Incline,Strength,Biceps,0,Barbell,Isolation,Beginner,No,Pull
Barbell Full Squat,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,Yes,Push
Barbell Guillotine Bench Press,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Push
Barbell Hip Thrust,Powerlifting,Glutes, Calves Hamstrings,Barbell,Compound,Intermediate,No,Push
Barbell Incline Shoulder Raise,Strength,Shoulders, Chest,Barbell,Compound,Beginner,No,Push
Barbell Rear Delt Row,Strength,Shoulders, Biceps Lats MiddleBack,Barbell,Compound,Beginner,No,Pull
Barbell Seated Calf Raise,Strength,Calves,0,Barbell,Isolation,Beginner,No,Push
Barbell Shrug,Strength,Traps,0,Barbell,Isolation,Beginner,No,Pull
Barbell Side Bend,Strength,Abdominals, LowerBack,Barbell,Isolation,Beginner,No,Pull
Barbell Squat,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Beginner,No,Push
Barbell Step Ups,Strength,Quadriceps, Calves Glutes Hamstrings Quadriceps,Barbell,Compound,Intermediate,No,Push
Battling Ropes,Strength,Shoulders, Chest Forearms,Other,Compound,Beginner,No,Push
